mean_R,mean_G,mean_B,x,y,dye,doz,antibiotic
0.9600041806697844,0.7686341255903244,0.8474856416384379,2,6,Ecoli_ef,32,Kanamycin
0.9600041806697844,0.7686341255903244,0.8474856416384379,2,7,Ecoli_ef,64,Kanamycin
0.9122117360432944,0.7213887025912603,0.8073162337144216,3,0,Ecoli_ef,0,Tetracycline
0.9122117360432944,0.7213887025912603,0.8073162337144216,3,1,Ecoli_ef,1,Tetracycline
0.9122117360432944,0.7213887025912603,0.8073162337144216,3,2,Ecoli_ef,2,Tetracycline
0.9122117360432944,0.7213887025912603,0.8073162337144216,3,3,Ecoli_ef,4,Tetracycline
0.9122117360432944,0.7213887025912603,0.8073162337144216,3,4,Ecoli_ef,8,Tetracycline
0.9122117360432944,0.7213887025912603,0.8073162337144216,3,5,Ecoli_ef,16,Tetracycline
0.9122117360432944,0.7213887025912603,0.8073162337144216,3,6,Ecoli_ef,32,Tetracycline
0.9122117360432944,0.7213887025912603,0.8073162337144216,3,7,Ecoli_ef,64,Tetracycline
0.8532544672489166,0.7675203581651052,0.8231358329455057,0,0,Ecoli_mg,0,Ampicillin
0.8532544672489166,0.7675203581651052,0.8231358329455057,0,1,Ecoli_mg,1,Ampicillin
0.8532544672489166,0.7675203581651052,0.8231358329455057,0,2,Ecoli_mg,2,Ampicillin
0.8532544672489166,0.7675203581651052,0.8231358329455057,0,3,Ecoli_mg,4,Ampicillin
0.8532544672489166,0.7675203581651052,0.8231358329455057,0,4,Ecoli_mg,8,Ampicillin
0.8532544672489166,0.7675203581651052,0.8231358329455057,0,5,Ecoli_mg,16,Ampicillin
0.8532544672489166,0.7675203581651052,0.8231358329455057,0,6,Ecoli_mg,32,Ampicillin
0.8532544672489166,0.7675203581651052,0.8231358329455057,0,7,Ecoli_mg,64,Ampicillin
0.7469654778639475,0.6813925902048746,0.7515072623888651,1,0,Ecoli_mg,0,Chloramphenicol
